,0
Maternal weight measured at pregnancy week 26 GUSTO visit,"Birth weight, Placental weight (maternal genotype, adjusted for sex and gestational age), Placental weight (fetal genotype, adjusted for sex and gestational age), Gestational diabetes, Gestational age at birth (maternal effect)"
Maternal height measured at gestational week 26 GUSTO visit,"Gestational age (maternal effect), Birth weight, Infant length, Gestational duration, Placental weight (maternal genotype, adjusted for sex and gestational age)"
"Maternal body mass index (BMI) at gestational week 26 GUSTO visit, calculated from weight and height at pw26 visit","Preterm birth (maternal effect) (maternal pre-pregnancy BMI interaction), Gestational diabetes mellitus, Gestational diabetes, Gestational age at birth in labor-initiated deliveries (maternal effect), Gestational age (maternal effect)"
"Energy in kcal, from 24hr recall food and supplement intake","Energy expenditure (24h), Energy intake, Basal metabolic rate (UKB data field 23105), Resting metabolic rate, Dietary macronutrient intake"
"Energy in kcal, without outliers which are less than 800 kcal from 24hr recall food and supplement intake","Energy expenditure (24h), Energy intake, Dietary macronutrient intake, Basal metabolic rate (UKB data field 23105), Dietary macronutrient intake (multi-trait analysis)"
"Energy in kcal, without outliers which are less than 500 kcal from 24hr recall food and supplement intake","Energy intake, Basal metabolic rate (UKB data field 23105), Dietary macronutrient intake, Energy expenditure, Basal metabolic rate variance"
"Protein in g, from 24hr recall food and supplement intake","Serum total protein levels, Blood protein levels, Serum levels of protein SELL, Serum levels of protein REG3G, Serum levels of protein RECQL"
"Carbohydrate in g, from 24hr recall food and supplement intake","Relative carbohydrate intake, Fasting glucose levels x carbohydrate intake interaction (2df), HbA1c levels x carbohydrate intake interaction (2df), Dietary macronutrient intake (multi-trait analysis), Relative sugar intake"
"Total Fat in g, from 24hr recall food and supplement intake","Saturated fatty acids levels (UKB data field 23448), Monounsaturated fatty acids levels (UKB data field 23447), Polyunsaturated fatty acids levels (UKB data field 23446), Omega-6 fatty acids levels (UKB data field 23445), Omega-3 fatty acids levels (UKB data field 23444)"
"Carbohydrate in Percentage, from 24hr recall food and supplement intake","Relative carbohydrate intake, Dietary macronutrient intake, Relative sugar intake, Glucose meal response (LMM), Fasting glucose levels x carbohydrate intake interaction (2df)"
"Protein in Percentage, from 24hr recall food and supplement intake","Total protein levels (UKB data field 30860), Serum total protein levels, Serum protein levels (sST2), Total protein levels (adjusted for BMI) x vegetarianism interaction, Total protein levels x vegetarianism interaction."
"Fat in Percentage, from 24hr recall food and supplement intake","Body fat percentage, Body fat percentage (aged 40-50 years), Body fat percentage (aged 64-69 years), Body fat percentage variance, Body fat rate."
